IP_ADDR: 2025/09/16 16:34:07 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 16:34:09 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:35:17 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:35:18 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:35:18 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:19 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:23 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:23 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:24 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:24 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:25 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:42 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:46 context.go:185: IP address : ::1, URL: /rate?from=usd&to=usd
IP_ADDR: 2025/09/16 16:55:48 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 16:55:51 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 16:56:06 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 16:56:10 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 16:56:23 context.go:185: IP address : ::1, URL: /rate?from=usd&to=chf
IP_ADDR: 2025/09/16 16:56:23 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 16:56:27 context.go:185: IP address : ::1, URL: /rate?from=usd&to=chf
IP_ADDR: 2025/09/16 16:56:27 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:03:31 context.go:185: IP address : ::1, URL: /rate?from=usd&to=chf
IP_ADDR: 2025/09/16 17:03:31 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:03:34 context.go:185: IP address : ::1, URL: /exchange?from=usd&to=rub&amount=100
IP_ADDR: 2025/09/16 17:03:34 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:04:31 context.go:185: IP address : ::1, URL: /exchange?from=usd&to=rub&amount=100
IP_ADDR: 2025/09/16 17:04:31 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:10:27 context.go:185: IP address : ::1, URL: /exchange?from=usd&to=rub&amount=100
IP_ADDR: 2025/09/16 17:10:27 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:10:31 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 17:10:31 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:11:40 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 17:11:41 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:11:49 context.go:185: IP address : ::1, URL: /rate?from=USD&to=EUR
IP_ADDR: 2025/09/16 17:11:49 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:12:20 context.go:185: IP address : ::1, URL: /rate?from=USD&to=EUR
IP_ADDR: 2025/09/16 17:12:21 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:12:26 context.go:185: IP address : ::1, URL: /rate?from=eur&to=rub
IP_ADDR: 2025/09/16 17:12:26 context.go:185: IP address : ::1, URL: /.well-known/appspecific/com.chrome.devtools.json
IP_ADDR: 2025/09/16 17:12:31 context.go:185: IP address : ::1, URL: /rate?from=eur&to=rub
IP_ADDR: 2025/09/16 17:12:33 context.go:185: IP address : ::1, URL: /rate?from=eur&to=rub
IP_ADDR: 2025/09/16 17:13:26 context.go:185: IP address : ::1, URL: /exchange?from=usd&to=rub&amount=100
IP_ADDR: 2025/09/16 17:13:29 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 17:13:38 context.go:185: IP address : ::1, URL: /stats
IP_ADDR: 2025/09/16 17:13:48 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 17:13:49 context.go:185: IP address : ::1, URL: /rate?from=usd&to=rub
IP_ADDR: 2025/09/16 17:13:51 context.go:185: IP address : ::1, URL: /stats?start=2006-01-02&end=2006-02-03
IP_ADDR: 2025/09/16 17:13:57 context.go:185: IP address : ::1, URL: /stats
IP_ADDR: 2025/09/16 17:13:59 context.go:185: IP address : ::1, URL: /rate?from=rub&to=usd
IP_ADDR: 2025/09/16 17:14:01 context.go:185: IP address : ::1, URL: /rate?from=rub&to=usd
IP_ADDR: 2025/09/16 17:14:03 context.go:185: IP address : ::1, URL: /stats?start=2006-01-02&end=2006-02-03
IP_ADDR: 2025/09/16 17:14:03 context.go:185: IP address : ::1, URL: /stats
